,distance,altitude_smoothed,label
430,3514.3,25.0133333333333,easy
431,3524.2,25.1133333333333,easy
432,3534.4,25.2177777777778,easy
433,3545.7,25.3244444444445,easy
434,3556.3,25.4322222222222,easy
435,3565.2,25.5411111111111,easy
436,3574.5,25.65,easy
437,3583.4,25.7588888888889,easy
438,3592.4,25.8677777777778,easy
439,3601.4,25.9766666666667,easy
440,3610.5,26.0844444444445,easy
441,3619.6,26.1922222222222,easy
442,3629.4,26.2977777777778,easy
443,3639.3,26.4022222222222,easy
444,3649.6,26.5055555555556,easy
445,3660,26.6077777777778,easy
446,3669.7,26.7088888888889,easy
447,3679.9,26.8088888888889,easy
448,3689.9,26.9066666666667,easy
449,3700.1,27.0022222222222,easy
450,3710.3,27.0966666666667,easy
451,3720.3,27.1911111111111,easy
452,3730,27.2833333333333,easy
453,3739.6,27.3744444444444,easy
454,3750.6,27.4655555555556,easy
455,3761.6,27.5555555555556,easy
456,3772.2,27.6444444444444,easy
457,3782.6,27.7311111111111,easy
458,3793,27.8166666666667,easy
459,3803.2,27.9011111111111,easy
460,3814,27.9844444444444,easy
461,3825,28.0666666666667,easy
462,3835,28.1477777777778,easy
463,3844.5,28.2277777777778,easy
464,3853.8,28.3055555555556,easy
465,3862.7,28.3844444444444,easy
466,3871.4,28.4644444444444,easy
467,3879.9,28.5422222222222,easy
468,3888.3,28.62,easy
469,3896.4,28.6966666666667,easy
470,3904.4,28.7733333333333,easy
471,3912,28.8477777777778,easy
472,3919.6,28.9211111111111,easy
473,3926.9,28.9933333333333,easy
474,3934.1,29.0655555555555,easy
475,3940.9,29.1366666666667,easy
476,3948.1,29.2077777777778,easy
477,3955.1,29.2777777777778,easy
478,3962.1,29.3466666666667,easy
479,3969.4,29.4144444444444,easy
480,3976.7,29.4811111111111,easy
481,3984.1,29.5466666666667,easy
482,3991.8,29.61,easy
483,3999.7,29.6711111111111,easy
484,4007.8,29.73,easy
485,4015.8,29.7877777777778,easy
486,4024.1,29.8433333333333,easy
487,4032.9,29.8955555555556,easy
488,4041.5,29.9444444444444,easy
489,4050.1,29.9877777777778,easy
490,4059,30.0244444444445,easy
491,4068.1,30.0555555555556,easy
492,4077.2,30.08,easy
493,4086.7,30.0977777777778,easy
494,4096.1,30.1088888888889,easy
495,4105.6,30.11,easy
496,4115.4,30.1022222222222,easy
497,4124.8,30.0833333333333,easy
498,4134.3,30.0555555555556,easy
499,4143.9,30.0177777777778,easy
500,4153.4,29.9711111111111,easy
501,4162.5,29.9166666666667,easy
502,4171.8,29.8555555555556,easy
503,4180.5,29.7888888888889,easy
504,4189.1,29.7166666666667,easy
505,4197.3,29.64,easy
506,4205.5,29.5588888888889,downhill
507,4213.7,29.4755555555556,downhill
508,4222,29.3888888888889,downhill
509,4230.2,29.3,downhill
510,4238.3,29.21,downhill
511,4246.1,29.12,downhill
512,4253.6,29.0322222222222,downhill
513,4260.7,28.9455555555556,downhill
514,4268.3,28.8577777777778,downhill
515,4275.7,28.7688888888889,downhill
516,4283.1,28.68,downhill
517,4290.9,28.5911111111111,downhill
518,4299,28.5011111111111,downhill
519,4307.3,28.4111111111111,downhill
520,4316,28.3222222222222,downhill
521,4324.6,28.2333333333333,downhill
522,4332.7,28.1433333333333,downhill
523,4341,28.0522222222222,downhill
524,4349.1,27.9622222222222,downhill
525,4358,27.8755555555556,downhill
526,4366.5,27.7911111111111,downhill
527,4374.9,27.7088888888889,downhill
528,4383.4,27.6277777777778,downhill
529,4392.1,27.5466666666667,downhill
530,4400.8,27.4666666666667,downhill
531,4409.3,27.3866666666667,downhill
532,4418,27.3055555555556,downhill
533,4427,27.2255555555555,downhill
534,4435.9,27.1455555555556,downhill
535,4444.7,27.0655555555556,downhill
536,4453.6,26.9855555555556,downhill
537,4462.5,26.9055555555555,downhill
538,4471.5,26.8266666666667,downhill
539,4479.6,26.7488888888889,downhill
540,4486.6,26.6722222222222,downhill
541,4492.1,26.5977777777778,downhill
542,4496,26.5266666666667,downhill
543,4500.1,26.4577777777778,downhill
544,4505.1,26.39,downhill
545,4511,26.3222222222222,downhill
546,4517.1,26.2555555555555,downhill
547,4524.5,26.19,downhill
548,4532,26.1255555555555,downhill
549,4539.9,26.0611111111111,downhill
550,4548,25.9966666666667,downhill
551,4555.7,25.9333333333333,downhill
552,4563.4,25.8722222222222,downhill
553,4571.2,25.8111111111111,downhill
554,4578.8,25.75,downhill
555,4586.4,25.6888888888889,downhill
556,4594,25.6266666666666,downhill
557,4601.5,25.5644444444444,downhill
558,4609.1,25.5033333333333,downhill
559,4616.8,25.4433333333333,downhill
560,4624.6,25.3844444444444,downhill
561,4632,25.3255555555555,downhill
562,4640,25.2666666666667,downhill
563,4647.7,25.2077777777778,downhill
564,4655.4,25.1488888888889,downhill
565,4663.2,25.09,downhill
566,4671.3,25.0311111111111,downhill
567,4679.3,24.9711111111111,downhill
568,4687.3,24.9111111111111,downhill
569,4695.5,24.85,downhill
570,4704,24.7877777777778,downhill
571,4712.3,24.7244444444444,downhill
572,4720.6,24.6588888888889,downhill
573,4729,24.5911111111111,downhill
574,4737.3,24.5211111111111,downhill
575,4745.4,24.4488888888889,downhill
576,4753.8,24.3755555555556,downhill
577,4762.6,24.3,downhill
578,4772.1,24.2222222222222,downhill
579,4782.8,24.1422222222222,downhill
580,4794.1,24.06,downhill
581,4806.5,23.9766666666667,downhill
582,4820.3,23.8922222222222,downhill
583,4834.7,23.8055555555556,downhill
584,4849.4,23.7166666666667,downhill
585,4863.8,23.6244444444444,downhill
586,4877.7,23.5311111111111,downhill
587,4893.2,23.4333333333333,downhill
588,4908.2,23.3333333333333,downhill
589,4923,23.23,downhill
590,4938.5,23.1233333333333,downhill
591,4955.7,23.0133333333333,downhill
592,4971.1,22.9011111111111,downhill
593,4986.2,22.7877777777778,downhill
594,5000.3,22.6733333333333,downhill
595,5014.7,22.5577777777778,downhill
596,5028.8,22.4411111111111,downhill
597,5042.8,22.3233333333333,downhill
598,5056.5,22.2033333333333,downhill
599,5070.1,22.0811111111111,downhill
600,5083,21.9577777777778,downhill
601,5095.4,21.8322222222222,downhill
602,5107.7,21.7055555555555,downhill
603,5120.3,21.5766666666667,downhill
604,5132.7,21.4477777777778,downhill
605,5144.7,21.3177777777778,downhill
606,5156.6,21.1877777777778,downhill
607,5168.1,21.0566666666667,downhill
608,5179.7,20.9244444444444,downhill
609,5191.1,20.7922222222222,downhill
610,5202,20.6588888888889,downhill
611,5213,20.5244444444444,downhill
612,5223.9,20.3866666666667,downhill
613,5234.1,20.2488888888889,downhill
614,5244.1,20.1111111111111,downhill
615,5253.7,19.9733333333333,downhill
616,5263.4,19.8366666666667,downhill
617,5273,19.6988888888889,downhill
618,5282.8,19.5611111111111,downhill
619,5292.3,19.4222222222222,downhill
620,5301.5,19.2844444444444,downhill
621,5311,19.1455555555556,downhill
622,5320.1,19.0077777777778,downhill
623,5328.7,18.8711111111111,downhill
624,5337.5,18.7344444444445,downhill
625,5346.1,18.5977777777778,downhill
626,5354.5,18.4611111111111,downhill
627,5362.9,18.3244444444445,downhill
628,5371.4,18.19,downhill
629,5380.4,18.0566666666667,downhill
630,5390.1,17.9233333333333,downhill
631,5400.2,17.79,downhill
632,5410.4,17.6577777777778,downhill
633,5420.5,17.5233333333333,downhill
634,5430.1,17.3888888888889,downhill
635,5440,17.2522222222222,downhill
636,5450,17.1144444444445,downhill
637,5459.9,16.9766666666667,downhill
638,5469.9,16.8388888888889,downhill
639,5479.6,16.7011111111111,downhill
640,5489.1,16.5622222222222,downhill
641,5498.2,16.4233333333333,downhill
642,5507.1,16.2833333333333,downhill
643,5515.7,16.1433333333333,downhill
644,5523.9,16.0022222222222,downhill
645,5531.3,15.8588888888889,downhill
646,5538.1,15.7144444444445,downhill
647,5544.2,15.57,downhill
648,5548.7,15.4255555555556,downhill
649,5551.6,15.2811111111111,downhill
650,5553.6,15.1377777777778,downhill
651,5556,14.9955555555556,downhill
